tahun,provinsi,jenis_harga,nilai_miliar_rp,sumber,status
2023,Papua,Konstan,7018.0,BPS PDRB,real
2024,Papua,Konstan,7074.0,BPS PDRB,real
2015,Aceh,Berlaku,37599.0,BPS PDRB,real
2016,Aceh,Berlaku,40218.0,BPS PDRB,real
2017,Aceh,Berlaku,43363.0,BPS PDRB,real
2018,Aceh,Berlaku,46365.0,BPS PDRB,real
2019,Aceh,Berlaku,48515.0,BPS PDRB,real
2015,Aceh,Konstan,31186.0,BPS PDRB,real
2016,Aceh,Konstan,32355.0,BPS PDRB,real
2017,Aceh,Konstan,34053.0,BPS PDRB,real
2018,Aceh,Konstan,35426.0,BPS PDRB,real
2019,Aceh,Konstan,36681.0,BPS PDRB,real
2015,Sumatera Utara,Berlaku,125488.0,BPS PDRB,real
2016,Sumatera Utara,Berlaku,134916.0,BPS PDRB,real
2017,Sumatera Utara,Berlaku,146369.0,BPS PDRB,real
2018,Sumatera Utara,Berlaku,155077.0,BPS PDRB,real
2019,Sumatera Utara,Berlaku,164166.0,BPS PDRB,real
2015,Sumatera Utara,Konstan,110066.0,BPS PDRB,real
2016,Sumatera Utara,Konstan,115180.0,BPS PDRB,real
2017,Sumatera Utara,Konstan,121300.0,BPS PDRB,real
2018,Sumatera Utara,Konstan,127203.0,BPS PDRB,real
2019,Sumatera Utara,Konstan,133726.0,BPS PDRB,real
2015,Sumatera Barat,Berlaku,44425.0,BPS PDRB,real
2016,Sumatera Barat,Berlaku,47173.0,BPS PDRB,real
2017,Sumatera Barat,Berlaku,50502.0,BPS PDRB,real
2018,Sumatera Barat,Berlaku,53436.0,BPS PDRB,real
2019,Sumatera Barat,Berlaku,54640.0,BPS PDRB,real
2015,Sumatera Barat,Konstan,33547.0,BPS PDRB,real
2016,Sumatera Barat,Konstan,34223.0,BPS PDRB,real
2017,Sumatera Barat,Konstan,35395.0,BPS PDRB,real
2018,Sumatera Barat,Konstan,36649.0,BPS PDRB,real
2019,Sumatera Barat,Konstan,37612.0,BPS PDRB,real
2015,Riau,Berlaku,144219.0,BPS PDRB,real
2016,Riau,Berlaku,156234.0,BPS PDRB,real
2017,Riau,Berlaku,165988.0,BPS PDRB,real
2018,Riau,Berlaku,169703.0,BPS PDRB,real
2019,Riau,Berlaku,177353.0,BPS PDRB,real
2015,Riau,Konstan,108969.0,BPS PDRB,real
2016,Riau,Konstan,113288.0,BPS PDRB,real
2017,Riau,Konstan,119282.0,BPS PDRB,real
2018,Riau,Konstan,124600.0,BPS PDRB,real
2019,Riau,Konstan,129732.0,BPS PDRB,real
2015,Jambi,Berlaku,43793.0,BPS PDRB,real
2016,Jambi,Berlaku,51442.0,BPS PDRB,real
2017,Jambi,Berlaku,56325.0,BPS PDRB,real
2018,Jambi,Berlaku,57801.0,BPS PDRB,real
2019,Jambi,Berlaku,59965.0,BPS PDRB,real
2015,Jambi,Konstan,32846.0,BPS PDRB,real
2016,Jambi,Konstan,34934.0,BPS PDRB,real
2017,Jambi,Konstan,36809.0,BPS PDRB,real
2018,Jambi,Konstan,37979.0,BPS PDRB,real
2019,Jambi,Konstan,38799.0,BPS PDRB,real
2015,Sumatera Selatan,Berlaku,56842.0,BPS PDRB,real
2016,Sumatera Selatan,Berlaku,59090.0,BPS PDRB,real
2017,Sumatera Selatan,Berlaku,60508.0,BPS PDRB,real
2018,Sumatera Selatan,Berlaku,62125.0,BPS PDRB,real
2019,Sumatera Selatan,Berlaku,65521.0,BPS PDRB,real
2015,Sumatera Selatan,Konstan,48288.0,BPS PDRB,real
2016,Sumatera Selatan,Konstan,48943.0,BPS PDRB,real
2017,Sumatera Selatan,Konstan,49519.0,BPS PDRB,real
2018,Sumatera Selatan,Konstan,50588.0,BPS PDRB,real
2019,Sumatera Selatan,Konstan,52216.0,BPS PDRB,real
2015,Bengkulu,Berlaku,15429.0,BPS PDRB,real
2016,Bengkulu,Berlaku,16538.0,BPS PDRB,real
2017,Bengkulu,Berlaku,17730.0,BPS PDRB,real
2018,Bengkulu,Berlaku,19029.0,BPS PDRB,real
2019,Bengkulu,Berlaku,20305.0,BPS PDRB,real
2015,Bengkulu,Konstan,11198.0,BPS PDRB,real
2016,Bengkulu,Konstan,11552.0,BPS PDRB,real
2017,Bengkulu,Konstan,11929.0,BPS PDRB,real
2018,Bengkulu,Konstan,12309.0,BPS PDRB,real
2019,Bengkulu,Konstan,12736.0,BPS PDRB,real
2015,Lampung,Berlaku,80726.0,BPS PDRB,real
2016,Lampung,Berlaku,88730.0,BPS PDRB,real
2017,Lampung,Berlaku,93751.0,BPS PDRB,real
2018,Lampung,Berlaku,100107.0,BPS PDRB,real
2019,Lampung,Berlaku,104444.0,BPS PDRB,real
2015,Lampung,Konstan,63745.0,BPS PDRB,real
2016,Lampung,Konstan,65731.0,BPS PDRB,real
2017,Lampung,Konstan,66297.0,BPS PDRB,real
2018,Lampung,Konstan,66966.0,BPS PDRB,real
2019,Lampung,Konstan,67861.0,BPS PDRB,real
2015,Kepulauan Bangka Belitung,Berlaku,12060.0,BPS PDRB,real
2016,Kepulauan Bangka Belitung,Berlaku,13117.0,BPS PDRB,real
2017,Kepulauan Bangka Belitung,Berlaku,13143.0,BPS PDRB,real
2018,Kepulauan Bangka Belitung,Berlaku,13163.0,BPS PDRB,real
2019,Kepulauan Bangka Belitung,Berlaku,13603.0,BPS PDRB,real
2015,Kepulauan Bangka Belitung,Konstan,8744.0,BPS PDRB,real
2016,Kepulauan Bangka Belitung,Konstan,9123.0,BPS PDRB,real
2017,Kepulauan Bangka Belitung,Konstan,9096.0,BPS PDRB,real
2018,Kepulauan Bangka Belitung,Konstan,9592.0,BPS PDRB,real
2019,Kepulauan Bangka Belitung,Konstan,9869.0,BPS PDRB,real
2015,Kepulauan Riau,Berlaku,7088.0,BPS PDRB,real
2016,Kepulauan Riau,Berlaku,7729.0,BPS PDRB,real
